reference,instance,value,physical_pin,pin_function,connected_net,wrapper_terminal,model_name,model_terminal_index_or_token,model_terminal_role,model_file,mapping_note
U12,U12,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U13,U13,TS5A3166DCKR,1,NO_1,Net-(U13-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U13,U13,TS5A3166DCKR,2,COM_2,Vm_Int,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U13,U13,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U13,U13,TS5A3166DCKR,4,IN_4,S4,IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U13,U13,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U14,U14,TS5A3166DCKR,1,NO_1,Net-(U14-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U14,U14,TS5A3166DCKR,2,COM_2,Vm_Int,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U14,U14,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U14,U14,TS5A3166DCKR,4,IN_4,Peak_Window,IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U14,U14,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U15,U15,TS5A3166DCKR,1,NO_1,Net-(U15-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U15,U15,TS5A3166DCKR,2,COM_2,V_Syn1_Set,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U15,U15,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U15,U15,TS5A3166DCKR,4,IN_4,Net-(U15-IN),IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U15,U15,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U16,U16,TS5A3166DCKR,1,NO_1,Net-(U16-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U16,U16,TS5A3166DCKR,2,COM_2,V_Syn2_Set,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U16,U16,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U16,U16,TS5A3166DCKR,4,IN_4,Net-(U16-IN),IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U16,U16,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U17,U17,TS5A3166DCKR,1,NO_1,Net-(U17-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U17,U17,TS5A3166DCKR,2,COM_2,V_Syn3_Set,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U17,U17,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U17,U17,TS5A3166DCKR,4,IN_4,Net-(U17-IN),IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U17,U17,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U18,U18,TS5A3166DCKR,1,NO_1,Net-(U18-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U18,U18,TS5A3166DCKR,2,COM_2,V_Syn4_Set,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U18,U18,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U18,U18,TS5A3166DCKR,4,IN_4,Net-(U18-IN),IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U18,U18,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U19,U19,TLV7031DCKR,1,OUT_1,Net-(U19-OUT),OUT,LIF_TLV7031_PP,1,OUT,models/portable/lifeling_portable_models.lib,
U19,U19,TLV7031DCKR,2,GND_2,GNDREF,V-,LIF_TLV7031_PP,2,V-,models/portable/lifeling_portable_models.lib,
U19,U19,TLV7031DCKR,3,IN+_3,Peak_Window,IN+,LIF_TLV7031_PP,3,IN+,models/portable/lifeling_portable_models.lib,
U19,U19,TLV7031DCKR,4,IN-_4,V_Logic_Mid,IN-,LIF_TLV7031_PP,4,IN-,models/portable/lifeling_portable_models.lib,
U19,U19,TLV7031DCKR,5,VCC_5,VDD,V+,LIF_TLV7031_PP,5,V+,models/portable/lifeling_portable_models.lib,
U20,U20,TS5A3166DCKR,1,NO_1,Net-(U20-NO),NO,LIF_TS5A3166,1,NO,models/portable/lifeling_portable_models.lib,
U20,U20,TS5A3166DCKR,2,COM_2,Vm_Display_In,COM,LIF_TS5A3166,2,COM,models/portable/lifeling_portable_models.lib,
U20,U20,TS5A3166DCKR,3,GND_3,GNDREF,GND,LIF_TS5A3166,3,GND,models/portable/lifeling_portable_models.lib,
U20,U20,TS5A3166DCKR,4,IN_4,Peak_Window,IN,LIF_TS5A3166,4,IN,models/portable/lifeling_portable_models.lib,
U20,U20,TS5A3166DCKR,5,V+_5,VDD,V+,LIF_TS5A3166,5,V+,models/portable/lifeling_portable_models.lib,
U21,U21,REF3020AIDBZR,1,IN_1,VDD,VIN,LIF_REF3020,1,VIN,models/portable/lifeling_portable_models.lib,Vendor TINA declaration remains gated
U21,U21,REF3020AIDBZR,2,OUT_2,VREF_2V048,VOUT,LIF_REF3020,2,VOUT,models/portable/lifeling_portable_models.lib,Vendor TINA declaration remains gated
U21,U21,REF3020AIDBZR,3,GND_3,GNDREF,GND,LIF_REF3020,3,GND,models/portable/lifeling_portable_models.lib,Vendor TINA declaration remains gated
U22,U22,TLV9001IDBVR,3,IN+_3,VREF_1V024_RAW,IN+,LIF_TLV9001,1,IN+,models/portable/lifeling_portable_models.lib,
U22,U22,TLV9001IDBVR,4,IN-_4,VREF_1V024,IN-,LIF_TLV9001,2,IN-,models/portable/lifeling_portable_models.lib,
U22,U22,TLV9001IDBVR,5,V+_5,VDD,V+,LIF_TLV9001,3,V+,models/portable/lifeling_portable_models.lib,
U22,U22,TLV9001IDBVR,2,V-_2,GNDREF,V-,LIF_TLV9001,4,V-,models/portable/lifeling_portable_models.lib,
U22,U22,TLV9001IDBVR,1,OUT_1,VREF_1V024,OUT,LIF_TLV9001,5,OUT,models/portable/lifeling_portable_models.lib,
U23,U23,TLV9041IDBVR,3,IN+_3,Net-(U23-IN+),IN+,LIF_TLV9041,1,IN+,models/portable/lifeling_portable_models.lib,
U23,U23,TLV9041IDBVR,4,IN-_4,Net-(U23-IN-),IN-,LIF_TLV9041,2,IN-,models/portable/lifeling_portable_models.lib,
U23,U23,TLV9041IDBVR,5,V+_5,VDD,V+,LIF_TLV9041,3,V+,models/portable/lifeling_portable_models.lib,
U23,U23,TLV9041IDBVR,2,V-_2,GNDREF,V-,LIF_TLV9041,4,V-,models/portable/lifeling_portable_models.lib,
U23,U23,TLV9041IDBVR,1,OUT_1,V_Stim_Drive,OUT,LIF_TLV9041,5,OUT,models/portable/lifeling_portable_models.lib,
