time_s,VM,VLEAK,VLEAK_REF,VLEAK_REF_MAX,V_RESET_REF,RESET_INJ
1e-07,0.384982893,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.0028e-07,0.384982894,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.0084e-07,0.384982896,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.0196e-07,0.384982901,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.042e-07,0.38498291,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.0868e-07,0.384982927,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.1764e-07,0.384982962,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.3556e-07,0.384983033,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.714e-07,0.384983173,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
2.4308e-07,0.384983454,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
3.8644e-07,0.384984017,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
6.7316e-07,0.384985141,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.2466e-06,0.38498739,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
2.39348e-06,0.384991889,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
4.68724e-06,0.385000885,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
7.34362e-06,0.385011303,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1e-05,0.385021721,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.0531276e-05,0.385023804,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.1593828e-05,0.385027971,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.3718932e-05,0.385036304,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
1.796914e-05,0.38505297,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
2.6469556e-05,0.385086298,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
3.6469556e-05,0.385125499,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
4.6469556e-05,0.385164693,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
5.6469556e-05,0.38520388,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
6.6469556e-05,0.385243059,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
7.6469556e-05,0.385282232,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
8.6469556e-05,0.385321397,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
9.6469556e-05,0.385360555,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000106469556,0.385399706,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000116469556,0.38543885,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000126469556,0.385477987,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000136469556,0.385517117,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000146469556,0.38555624,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000156469556,0.385595355,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000166469556,0.385634463,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000176469556,0.385673565,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000186469556,0.385712659,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000196469556,0.385751746,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000206469556,0.385790826,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000216469556,0.385829899,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000226469556,0.385868965,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000236469556,0.385908023,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000246469556,0.385947075,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000256469556,0.385986119,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000266469556,0.386025157,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000276469556,0.386064187,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000286469556,0.38610321,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000296469556,0.386142226,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000306469556,0.386181235,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000316469556,0.386220237,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000326469556,0.386259232,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000336469556,0.386298219,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000346469556,0.3863372,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000356469556,0.386376174,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000366469556,0.38641514,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000376469556,0.386454099,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000386469556,0.386493052,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000396469556,0.386531997,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000406469556,0.386570935,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000416469556,0.386609866,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000426469556,0.38664879,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000436469556,0.386687707,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000446469556,0.386726617,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000456469556,0.386765519,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000466469556,0.386804415,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000476469556,0.386843304,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000486469556,0.386882185,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000496469556,0.38692106,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000506469556,0.386959927,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000516469556,0.386998787,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000526469556,0.387037641,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000536469556,0.387076487,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000546469556,0.387115326,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000556469556,0.387154158,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000566469556,0.387192983,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000576469556,0.387231801,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000586469556,0.387270612,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000596469556,0.387309416,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000606469556,0.387348213,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000616469556,0.387387002,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000626469556,0.387425785,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000636469556,0.387464561,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000646469556,0.387503329,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000656469556,0.387542091,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000666469556,0.387580845,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000676469556,0.387619593,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000686469556,0.387658333,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000696469556,0.387697067,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000706469556,0.387735793,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000716469556,0.387774512,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000726469556,0.387813224,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000736469556,0.38785193,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000746469556,0.387890628,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000756469556,0.387929319,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000766469556,0.387968003,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000776469556,0.38800668,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000786469556,0.38804535,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000796469556,0.388084013,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000806469556,0.388122669,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000816469556,0.388161318,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000826469556,0.38819996,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000836469556,0.388238595,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000846469556,0.388277223,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000856469556,0.388315844,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000866469556,0.388354457,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000876469556,0.388393064,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000886469556,0.388431664,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000896469556,0.388470257,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000906469556,0.388508842,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000916469556,0.388547421,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000926469556,0.388585993,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000936469556,0.388624558,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000946469556,0.388663115,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000956469556,0.388701666,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000966469556,0.38874021,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000976469556,0.388778746,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000986469556,0.388817276,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
0.000996469556,0.388855799,0.600720865,0.600720865,1.20144173,0.37593985,0.37593985
