"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"R25,R26,R27,R39,R41,R42,R43,R45,R46,R47,R49,R50,R51,R53,R54","15","100Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF1000TCE_C25076.pdf"
"R37,R38","2","2.4kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF2401TCE_C25882.pdf"
"R61","1","300kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF3003TCE_C25774.pdf"
"R64","1","220Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF2200TCE_C25091.pdf"
"R82,R85,R88,R91,R94","5","10Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF100JTCE_C25077.pdf"
"RV1,RV5,RV6,RV7,RV8","5","100kΩ","","","","Maxime:RES-ADJ-SMD_G43BT",""
"RV2,RV3,RV9","3","50kΩ","","","","Maxime:RES-ADJ-SMD_G43BT",""
"RV4","1","10kΩ","","","","Maxime:RES-ADJ-SMD_G43BT",""
"SW1","1","SW_SPDT","","","","Maxime:SW-SMD_SSAJ120100","~"
"U1,U2,U3","3","MCP6004T-I/ST","","","","Maxime:TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL",""
"U4,U5,U6","3","LM339","","","","Maxime:TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL","https://www.st.com/resource/en/datasheet/lm139.pdf"
