Name,Manufacturer,Component ID,Retailer,Retailer ID,Quantity,Links,,Observation,Cost per unit,Total,Total VAT,,,
Capacitor 10nF,Vishay,A103K15X7RF5TAA,DigiKey,1103PHCT-ND,33,https://www.digikey.fr/fr/products/detail/vishay-beyschlag-draloric-bc-components/A103K15X7RF5TAA/145987,,,0.2,1.6,1.92,,,
Capacitor 100nF,Vishay,K104K15X7RF53H5G,DigiKey,56-K104K15X7RF53H5G-ND,43,https://www.digikey.fr/fr/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF53H5G/13279844,,,0.63,17.01,20.412,,,
Capacitor 4.7µF ,Vishay,MAL214258478E3,DigiKey,56-MAL214258478E3-ND,4,https://www.digikey.fr/fr/products/detail/vishay-beyschlag-draloric-bc-components/MAL214258478E3/2691031,,,0.29,,,,,
Capacitor 10µF X7R,Murata Electronics,RCER71H106MWM1H03A,DigiKey,490-7518-1-ND,4,https://www.digikey.fr/fr/products/detail/murata-electronics/RCER71H106MWM1H03A/4277142,,,1.51,6.04,7.248,,,
Capacitor 10µF ,Panasonic Electronic Components,ECE-A1CKS100I,DigiKey,10-ECE-A1CKS100ICT-ND,23,https://www.digikey.fr/fr/products/detail/panasonic-electronic-components/ECE-A1CKS100I/6109478,,,0.21,3.99,4.788,,,
Capacitor 47µF ,Rubycon,25YXF47MEFCTA5X11,DigiKey,1189-4165-1-ND,0,https://www.digikey.fr/fr/products/detail/rubycon/25YXF47MEFCTA5X11/3567068,,,0.16,0,0,,,
Capacitor 220µF ,Rubycon,,DigiKey,50ZLH220MEFC10X161189-1759-ND,1,https://www.digikey.fr/fr/products/detail/rubycon/50ZLH220MEFC10X16/3563724,,,0.56,0.56,0.672,,,
Capacitor 470µF ,Rubycon,25PX470MEFC8X11.5,DigiKey,1189-25PX470MEFC8X11.5-ND,3,https://www.digikey.fr/fr/products/detail/rubycon/25PX470MEFC8X11-5/3563289,,,0.44,1.32,1.584,,,
Capacitor 680µF ,Rubycon,25PX680MEFC10X12.5,DigiKey,1189-1229-ND,1,https://www.digikey.fr/fr/products/detail/rubycon/25PX680MEFC10X12-5/3134185,,,0.42,0.42,0.504,,,
Resistor 22,,,,,8,,,,,,,,,
Resistor 68,,,,,8,,,,,,,,,
Resistor 100,,,,,32,,,,,0,0,,,
Resistor 220,,,,,24,,,,,,,,,
Resistor 1k,,,,,16,,,,,0,0,,,
Resistor 1k precision,,,,,8,,,,,,,,,
Resistor 1.1K,,,,,9,,,,,0,0,,,
Resistor 2k,,,,,8,,,,,0,0,,,
Resistor 2k precision,,,,,8,,,,,,,,,
Resistor 3K,,,,,1,,,,,0,0,,,
Resistor 3.4K,,,,,1,,,,,0,0,,,
Resistor 4.7k,,,,,8,,,,,0,0,,,
Resistor 5k,,,,,8,,,,,0,0,,,
Resistor 5k precision,,,,,40,,,,,0,0,,,
Resistor 10K precision,,,,,18,,,,,0,0,,,
Resistor 10k,,,,,22,,,,,0,0,,,
Resistor 20K precision,,,,,8,,,,,0,0,,,
Resistor 47k,,,,,3,,,,,0,0,,,
Resistor 100k,,,,,4,,,,,,,,,
