 2.85758189e-08 -1.44818043e-06  2.85758189e-08 -2.98732574e-06  2.85758189e-08 -3.12039639e-08  2.85758189e-08 -1.99685310e-02  2.85758189e-08 -2.50400177e-05  2.85758189e-08 -1.09763920e-08  2.85758189e-08 -5.49051574e-10 
 3.21679408e-08 -1.50008987e-06  3.21679408e-08 -3.13576606e-06  3.21679408e-08 -3.38523360e-08  3.21679408e-08 -1.99687311e-02  3.21679408e-08 -2.80749353e-05  3.21679408e-08 -1.25231075e-08  3.21679408e-08 -5.69031171e-10 
 3.59590369e-08 -1.53922704e-06  3.59590369e-08 -3.29930494e-06  3.59590369e-08 -3.65852575e-08  3.59590369e-08 -1.99689243e-02  3.59590369e-08 -3.12515758e-05  3.59590369e-08 -1.41772592e-08  3.59590369e-08 -5.84158674e-10 
 4.01671519e-08 -1.56510184e-06  4.01671519e-08 -3.49120186e-06  4.01671519e-08 -3.95454567e-08  4.01671519e-08 -1.99691181e-02  4.01671519e-08 -3.47467841e-05  4.01671519e-08 -1.60188262e-08  4.01671519e-08 -5.94255654e-10 
 4.42873954e-08 -1.57399835e-06  4.42873954e-08 -3.68992440e-06  4.42873954e-08 -4.23705053e-08  4.42873954e-08 -1.99692884e-02  4.42873954e-08 -3.81383732e-05  4.42873954e-08 -1.78082662e-08  4.42873954e-08 -5.97872934e-10 
 4.88260425e-08 -1.56704444e-06  4.88260425e-08 -3.91993449e-06  4.88260425e-08 -4.54001921e-08  4.88260425e-08 -1.99694559e-02  4.88260425e-08 -4.18402634e-05  4.88260425e-08 -1.97420516e-08  4.88260425e-08 -5.95462292e-10 
 5.35683051e-08 -1.54358120e-06  5.35683051e-08 -4.17011590e-06  5.35683051e-08 -4.84756910e-08  5.35683051e-08 -1.99696110e-02  5.35683051e-08 -4.56710729e-05  5.35683051e-08 -2.16993958e-08  5.35683051e-08 -5.86753745e-10 
 5.91513314e-08 -1.49876036e-06  5.91513314e-08 -4.47320811e-06  5.91513314e-08 -5.19813419e-08  5.91513314e-08 -1.99697717e-02  5.91513314e-08 -5.01338313e-05  5.91513314e-08 -2.38952176e-08  5.91513314e-08 -5.69918444e-10 
 6.47765564e-08 -1.43929527e-06  6.47765564e-08 -4.78359526e-06  6.47765564e-08 -5.53907551e-08  6.47765564e-08 -1.99699143e-02  6.47765564e-08 -5.45801587e-05  6.47765564e-08 -2.59676427e-08  6.47765564e-08 -5.47467145e-10 
 7.11472761e-08 -1.36070887e-06  7.11472761e-08 -5.13663899e-06  7.11472761e-08 -5.91075011e-08  7.11472761e-08 -1.99700585e-02  7.11472761e-08 -5.95568477e-05  7.11472761e-08 -2.81260096e-08  7.11472761e-08 -5.17706756e-10 
 7.76784466e-08 -1.27423463e-06  7.76784466e-08 -5.49711977e-06  7.76784466e-08 -6.27632257e-08  7.76784466e-08 -1.99701940e-02  7.76784466e-08 -6.45959259e-05  7.76784466e-08 -3.01211814e-08  7.76784466e-08 -4.84887135e-10 
 8.44133155e-08 -1.18539359e-06  8.44133155e-08 -5.86573038e-06  8.44133155e-08 -6.63741453e-08  8.44133155e-08 -1.99703275e-02  8.44133155e-08 -6.97274854e-05  8.44133155e-08 -3.19496506e-08  8.44133155e-08 -4.51108081e-10 
 9.10056988e-08 -1.10438738e-06  9.10056988e-08 -6.22331184e-06  9.10056988e-08 -6.97574070e-08  9.10056988e-08 -1.99704577e-02  9.10056988e-08 -7.46887602e-05  9.10056988e-08 -3.35268243e-08  9.10056988e-08 -4.20254968e-10 
 9.77515215e-08 -1.03248021e-06  9.77515215e-08 -6.58655990e-06  9.77515215e-08 -7.30695575e-08  9.77515215e-08 -1.99705956e-02  9.77515215e-08 -7.97041475e-05  9.77515215e-08 -3.49458182e-08  9.77515215e-08 -3.92815196e-10 
 1.04530272e-07 -9.75186203e-07  1.04530272e-07 -6.94984459e-06  1.04530272e-07 -7.62501706e-08  1.04530272e-07 -1.99707429e-02  1.04530272e-07 -8.46832289e-05  1.04530272e-07 -3.62041429e-08  1.04530272e-07 -3.70895538e-10 
 1.11669025e-07 -9.33904616e-07  1.11669025e-07 -7.33154021e-06  1.11669025e-07 -7.94450852e-08  1.11669025e-07 -1.99709105e-02  1.11669025e-07 -8.98626687e-05  1.11669025e-07 -3.73886387e-08  1.11669025e-07 -3.55030279e-10 
 1.19238496e-07 -9.13126129e-07  1.19238496e-07 -7.73606399e-06  1.19238496e-07 -8.26656432e-08  1.19238496e-07 -1.99711041e-02  1.19238496e-07 -9.52847519e-05  1.19238496e-07 -3.85383424e-08  1.19238496e-07 -3.46934125e-10 
 1.27830559e-07 -9.18252766e-07  1.27830559e-07 -8.19547270e-06  1.27830559e-07 -8.61209610e-08  1.27830559e-07 -1.99713439e-02  1.27830559e-07 -1.01354631e-04  1.27830559e-07 -3.97814016e-08  1.27830559e-07 -3.48657583e-10 
 1.36358626e-07 -9.51563393e-07  1.36358626e-07 -8.65176364e-06  1.36358626e-07 -8.93481964e-08  1.36358626e-07 -1.99716015e-02  1.36358626e-07 -1.07292609e-04  1.36358626e-07 -4.10197837e-08  1.36358626e-07 -3.61110185e-10 
 1.45369993e-07 -1.01318867e-06  1.45369993e-07 -9.13403818e-06  1.45369993e-07 -9.25486106e-08  1.45369993e-07 -1.99718910e-02  1.45369993e-07 -1.13475804e-04  1.45369993e-07 -4.24044688e-08  1.45369993e-07 -3.84342643e-10 
 1.54222927e-07 -1.09479958e-06  1.54222927e-07 -9.60769242e-06  1.54222927e-07 -9.54918402e-08  1.54222927e-07 -1.99721878e-02  1.54222927e-07 -1.19461282e-04  1.54222927e-07 -4.38976539e-08  1.54222927e-07 -4.15213132e-10 
 1.63151846e-07 -1.19202819e-06  1.63151846e-07 -1.00850573e-05  1.63151846e-07 -9.82674653e-08  1.63151846e-07 -1.99724936e-02  1.63151846e-07 -1.25411031e-04  1.63151846e-07 -4.55790089e-08  1.63151846e-07 -4.52061529e-10 
 1.72106664e-07 -1.29816162e-06  1.72106664e-07 -1.05633374e-05  1.72106664e-07 -1.00865192e-07  1.72106664e-07 -1.99728008e-02  1.72106664e-07 -1.31292325e-04  1.72106664e-07 -4.74670660e-08  1.72106664e-07 -4.92338077e-10 
 1.81109046e-07 -1.40744526e-06  1.81109046e-07 -1.10436601e-05  1.81109046e-07 -1.03297364e-07  1.81109046e-07 -1.99731044e-02  1.81109046e-07 -1.37120401e-04  1.81109046e-07 -4.95772731e-08  1.81109046e-07 -5.33852678e-10 
 1.90353530e-07 -1.51675665e-06  1.90353530e-07 -1.15364100e-05  1.90353530e-07 -1.05616312e-07  1.90353530e-07 -1.99734053e-02  1.90353530e-07 -1.43019195e-04  1.90353530e-07 -5.19584359e-08  1.90353530e-07 -5.75413658e-10 
 2.00123544e-07 -1.62410492e-06  2.00123544e-07 -1.20566821e-05  2.00123544e-07 -1.07879661e-07  2.00123544e-07 -1.99737068e-02  2.00123544e-07 -1.49160925e-04  2.00123544e-07 -5.46876615e-08  2.00123544e-07 -6.16259841e-10 
 2.09287762e-07 -1.71410286e-06  2.09287762e-07 -1.25442729e-05  2.09287762e-07 -1.09835595e-07  2.09287762e-07 -1.99739715e-02  2.09287762e-07 -1.54837578e-04  2.09287762e-07 -5.74163031e-08  2.09287762e-07 -6.50527804e-10 
 2.19098543e-07 -1.79710909e-06  2.19098543e-07 -1.30658332e-05  2.19098543e-07 -1.11759096e-07  2.19098543e-07 -1.99742338e-02  2.19098543e-07 -1.60826666e-04  2.19098543e-07 -6.04778737e-08  2.19098543e-07 -6.82152427e-10 
 2.29118295e-07 -1.86736282e-06  2.29118295e-07 -1.35980459e-05  2.29118295e-07 -1.13550591e-07  2.29118295e-07 -1.99744794e-02  2.29118295e-07 -1.66851754e-04  2.29118295e-07 -6.37098673e-08  2.29118295e-07 -7.08931828e-10 
 2.40157689e-07 -1.92925475e-06  2.40157689e-07 -1.41838762e-05  2.40157689e-07 -1.15332771e-07  2.40157689e-07 -1.99747257e-02  2.40157689e-07 -1.73385874e-04  2.40157689e-07 -6.73412697e-08  2.40157689e-07 -7.32530737e-10 
 2.52181933e-07 -1.98178010e-06  2.52181933e-07 -1.48213119e-05  2.52181933e-07 -1.17058317e-07  2.52181933e-07 -1.99749692e-02  2.52181933e-07 -1.80382528e-04  2.52181933e-07 -7.13257632e-08  2.52181933e-07 -7.52555293e-10 
 2.65618124e-07 -2.02830463e-06  2.65618124e-07 -1.55327785e-05  2.65618124e-07 -1.18737161e-07  2.65618124e-07 -1.99752176e-02  2.65618124e-07 -1.88057302e-04  2.65618124e-07 -7.57616994e-08  2.65618124e-07 -7.70274723e-10 
 2.79509151e-07 -2.07023368e-06  2.79509151e-07 -1.62674179e-05  2.79509151e-07 -1.20214445e-07  2.79509151e-07 -1.99754560e-02  2.79509151e-07 -1.95838364e-04  2.79509151e-07 -8.02972588e-08  2.79509151e-07 -7.86214138e-10 
 2.94783515e-07 -2.11721968e-06  2.94783515e-07 -1.70741504e-05  2.94783515e-07 -1.21557891e-07  2.94783515e-07 -1.99757056e-02  2.94783515e-07 -2.04221226e-04  2.94783515e-07 -8.52180093e-08  2.94783515e-07 -8.04042563e-10 
 3.09818413e-07 -2.17021996e-06  3.09818413e-07 -1.78671491e-05  3.09818413e-07 -1.22614274e-07  3.09818413e-07 -1.99759452e-02  3.09818413e-07 -2.12302514e-04  3.09818413e-07 -9.00135381e-08  3.09818413e-07 -8.24134777e-10 
 3.27440849e-07 -2.24488181e-06  3.27440849e-07 -1.87952572e-05  3.27440849e-07 -1.23545462e-07  3.27440849e-07 -1.99762234e-02  3.27440849e-07 -2.21569133e-04  3.27440849e-07 -9.56257307e-08  3.27440849e-07 -8.52440574e-10 
 3.43581476e-07 -2.32510724e-06  3.43581476e-07 -1.96440312e-05  3.43581476e-07 -1.24131409e-07  3.43581476e-07 -1.99764768e-02  3.43581476e-07 -2.29869758e-04  3.43581476e-07 -1.00808099e-07  3.43581476e-07 -8.82870472e-10 
 3.61196882e-07 -2.42246252e-06  3.61196882e-07 -2.05689494e-05  3.61196882e-07 -1.24506585e-07  3.61196882e-07 -1.99767495e-02  3.61196882e-07 -2.38733862e-04  3.61196882e-07 -1.06559915e-07  3.61196882e-07 -9.19820044e-10 
 3.79659508e-07 -2.53009364e-06  3.79659508e-07 -2.15367759e-05  3.79659508e-07 -1.24631832e-07  3.79659508e-07 -1.99770270e-02  3.79659508e-07 -2.47815241e-04  3.79659508e-07 -1.12727077e-07  3.79659508e-07 -9.60693594e-10 
