time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,Vm_Int,AP,Spike_Out
9.10056988e-08,-1.10438738e-06,-6.22331184e-06,-6.9757407e-08,-0.0199704577,-7.46887602e-05,-3.35268243e-08,-4.20254968e-10
9.77515215e-08,-1.03248021e-06,-6.5865599e-06,-7.30695575e-08,-0.0199705956,-7.97041475e-05,-3.49458182e-08,-3.92815196e-10
1.04530272e-07,-9.75186203e-07,-6.94984459e-06,-7.62501706e-08,-0.0199707429,-8.46832289e-05,-3.62041429e-08,-3.70895538e-10
1.11669025e-07,-9.33904616e-07,-7.33154021e-06,-7.94450852e-08,-0.0199709105,-8.98626687e-05,-3.73886387e-08,-3.55030279e-10
1.19238496e-07,-9.13126129e-07,-7.73606399e-06,-8.26656432e-08,-0.0199711041,-9.52847519e-05,-3.85383424e-08,-3.46934125e-10
1.27830559e-07,-9.18252766e-07,-8.1954727e-06,-8.6120961e-08,-0.0199713439,-0.000101354631,-3.97814016e-08,-3.48657583e-10
1.36358626e-07,-9.51563393e-07,-8.65176364e-06,-8.93481964e-08,-0.0199716015,-0.000107292609,-4.10197837e-08,-3.61110185e-10
1.45369993e-07,-1.01318867e-06,-9.13403818e-06,-9.25486106e-08,-0.019971891,-0.000113475804,-4.24044688e-08,-3.84342643e-10
1.54222927e-07,-1.09479958e-06,-9.60769242e-06,-9.54918402e-08,-0.0199721878,-0.000119461282,-4.38976539e-08,-4.15213132e-10
1.63151846e-07,-1.19202819e-06,-1.00850573e-05,-9.82674653e-08,-0.0199724936,-0.000125411031,-4.55790089e-08,-4.52061529e-10
1.72106664e-07,-1.29816162e-06,-1.05633374e-05,-1.00865192e-07,-0.0199728008,-0.000131292325,-4.7467066e-08,-4.92338077e-10
1.81109046e-07,-1.40744526e-06,-1.10436601e-05,-1.03297364e-07,-0.0199731044,-0.000137120401,-4.95772731e-08,-5.33852678e-10
1.9035353e-07,-1.51675665e-06,-1.153641e-05,-1.05616312e-07,-0.0199734053,-0.000143019195,-5.19584359e-08,-5.75413658e-10
2.00123544e-07,-1.62410492e-06,-1.20566821e-05,-1.07879661e-07,-0.0199737068,-0.000149160925,-5.46876615e-08,-6.16259841e-10
2.09287762e-07,-1.71410286e-06,-1.25442729e-05,-1.09835595e-07,-0.0199739715,-0.000154837578,-5.74163031e-08,-6.50527804e-10
2.19098543e-07,-1.79710909e-06,-1.30658332e-05,-1.11759096e-07,-0.0199742338,-0.000160826666,-6.04778737e-08,-6.82152427e-10
2.29118295e-07,-1.86736282e-06,-1.35980459e-05,-1.13550591e-07,-0.0199744794,-0.000166851754,-6.37098673e-08,-7.08931828e-10
2.40157689e-07,-1.92925475e-06,-1.41838762e-05,-1.15332771e-07,-0.0199747257,-0.000173385874,-6.73412697e-08,-7.32530737e-10
2.52181933e-07,-1.9817801e-06,-1.48213119e-05,-1.17058317e-07,-0.0199749692,-0.000180382528,-7.13257632e-08,-7.52555293e-10
2.65618124e-07,-2.02830463e-06,-1.55327785e-05,-1.18737161e-07,-0.0199752176,-0.000188057302,-7.57616994e-08,-7.70274723e-10
2.79509151e-07,-2.07023368e-06,-1.62674179e-05,-1.20214445e-07,-0.019975456,-0.000195838364,-8.02972588e-08,-7.86214138e-10
2.94783515e-07,-2.11721968e-06,-1.70741504e-05,-1.21557891e-07,-0.0199757056,-0.000204221226,-8.52180093e-08,-8.04042563e-10
3.09818413e-07,-2.17021996e-06,-1.78671491e-05,-1.22614274e-07,-0.0199759452,-0.000212302514,-9.00135381e-08,-8.24134777e-10
3.27440849e-07,-2.24488181e-06,-1.87952572e-05,-1.23545462e-07,-0.0199762234,-0.000221569133,-9.56257307e-08,-8.52440574e-10
3.43581476e-07,-2.32510724e-06,-1.96440312e-05,-1.24131409e-07,-0.0199764768,-0.000229869758,-1.00808099e-07,-8.82870472e-10
3.61196882e-07,-2.42246252e-06,-2.05689494e-05,-1.24506585e-07,-0.0199767495,-0.000238733862,-1.06559915e-07,-9.19820044e-10
3.79659508e-07,-2.53009364e-06,-2.15367759e-05,-1.24631832e-07,-0.019977027,-0.000247815241,-1.12727077e-07,-9.60693594e-10
4.04210064e-07,-2.67226629e-06,-2.28212436e-05,-1.24423254e-07,-0.019977375,-0.000259576587,-1.21147625e-07,-1.01471209e-09
4.2637237e-07,-2.79391601e-06,-2.39783201e-05,-1.23908315e-07,-0.0199776643,-0.000269899771,-1.28924828e-07,-1.06094799e-09
4.47715682e-07,-2.90296159e-06,-2.50904541e-05,-1.23155404e-07,-0.0199779202,-0.000279590715,-1.36519405e-07,-1.10239621e-09
4.73810324e-07,-3.02718655e-06,-2.64472616e-05,-1.21941241e-07,-0.0199782064,-0.000291123132,-1.45869123e-07,-1.14960611e-09
4.98250021e-07,-3.13834986e-06,-2.77151285e-05,-1.20551432e-07,-0.0199784534,-0.000301624846,-1.5464403e-07,-1.19183993e-09
5.3577547e-07,-3.30807849e-06,-2.96564244e-05,-1.18034514e-07,-0.019978806,-0.000317224224,-1.6811098e-07,-1.25630847e-09
5.75012714e-07,-3.48834465e-06,-3.16792713e-05,-1.15009252e-07,-0.0199791484,-0.000332899463,-1.82194492e-07,-1.32477581e-09
6.11288655e-07,-3.6562901e-06,-3.35431009e-05,-1.11938192e-07,-0.0199794437,-0.000346851812,-1.95228667e-07,-1.38856978e-09
6.53815361e-07,-3.85030828e-06,-3.57203529e-05,-1.08102816e-07,-0.0199797637,-0.000362596707,-2.10508085e-07,-1.46227624e-09
7.18561931e-07,-4.13390677e-06,-3.90192487e-05,-1.0198422e-07,-0.0199802011,-0.000385413279,-2.33639354e-07,-1.57001879e-09
7.79159425e-07,-4.38737311e-06,-4.20893879e-05,-9.61199493e-08,-0.0199805651,-0.000405607565,-2.550144e-07,-1.66631091e-09
8.47690308e-07,-4.66327435e-06,-4.55413706e-05,-8.9505992e-08,-0.0199809364,-0.000427220001,-2.78747963e-07,-1.77112265e-09
9.22845154e-07,-4.9538802e-06,-4.9302649e-05,-8.24354309e-08,-0.0199813049,-0.000449563729,-3.0414193e-07,-1.88152091e-09
9.98e-07,-5.23100152e-06,-5.30386182e-05,-7.56691829e-08,-0.0199816393,-0.000470612109,-3.28788543e-07,-1.98679868e-09
9.9805e-07,-5.2311814e-06,-5.30410953e-05,-7.56647847e-08,-0.0199816395,-0.000470625681,-3.28804693e-07,-1.98686701e-09
9.9815e-07,-5.23154113e-06,-5.30460494e-05,-7.56559864e-08,-0.01998164,-0.000470652824,-3.28836988e-07,-1.98700368e-09
9.98325e-07,-5.2321706e-06,-5.30547191e-05,-7.56405871e-08,-0.0199816407,-0.000470700318,-3.28893502e-07,-1.98724283e-09
9.985e-07,-5.23279999e-06,-5.30633886e-05,-7.56251897e-08,-0.0199816414,-0.000470747807,-3.28950011e-07,-1.98748193e-09
