time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,V_Leak,Vm_Int,V_Threshold,AP,Spike_Pulse,Peak_Window,Reset_Window,Vm_Display_In,Vm_Ext,Spike_Out,V_Syn_State,/V_Syn_Drive,V_Stim_Cmd,V_Stim_Drive,Vsel,S0,S1,S2,S3,S4,Vw,Vw_buff,/Vkick,/Adapt_Kick_Drive,/Rising_AP,/AP_Gate,V_Reset_Ref,/Reset_Injection_Drive,/Reset_Gated_Drive,V_Peak_Drive,V_Syn1_Set,V_Syn2_Set,V_Syn3_Set,V_Syn4_Set
1.18480397e-05,0.0427843187,0.00286478353,3.86316943e-07,0.0227576242,0.00110669276,-2.57747463e-06,0.0191418383,0.00348924843,0.00167039911,7.69979845e-06,0.038095578,0.000510332959,-0.0171531742,1.62516804e-05,2.08099827e-06,0.00102227369,0.00219132024,0.0227735012,0.0385058813,7.8078853e-06,8.04584261e-06,8.3531743e-06,0.0394868674,0.0414503533,2.43555339e-08,0.00104767483,0.0029874701,0.0029882112,0.00325044792,0.0425260006,0.00795210348,0.00111597658,0.00591547959,0.0364909982,0.00104964585,0.00104964585,0.00104964585,0.00104964585
1.1848067e-05,0.0427843893,0.00286480902,3.86317444e-07,0.0227576948,0.00110669245,-1.78625045e-06,0.0191418972,0.00348925544,0.00167040224,7.69981223e-06,0.0380953641,0.000510332355,-0.0171531494,1.62517105e-05,2.08104687e-06,0.00102227251,0.00219132786,0.0227735723,0.0385059448,7.80789863e-06,8.04585677e-06,8.35318901e-06,0.0394869405,0.0414504285,2.44086856e-08,0.00104767408,0.00298747843,0.00298821953,0.00325045384,0.0425260766,0.00795213101,0.00111597862,0.00591379286,0.0364911175,0.0010496455,0.0010496455,0.0010496455,0.0010496455
1.18480932e-05,0.0427844553,0.00286483351,3.86317959e-07,0.0227577608,0.00110669226,-8.72053795e-07,0.0191419524,0.00348926216,0.00167040525,7.69982516e-06,0.0380951591,0.000510333704,-0.0171531255,1.6251739e-05,2.08109354e-06,0.00102227146,0.00219133518,0.0227736389,0.0385060042,7.80791111e-06,8.04587005e-06,8.35320281e-06,0.0394870106,0.0414505007,2.44722474e-08,0.00104767336,0.00298748642,0.00298822752,0.00325045951,0.0425261495,0.00795215741,0.00111598061,0.00591217588,0.0364912319,0.00104964516,0.00104964516,0.00104964516,0.00104964516
1.18481209e-05,0.0427845238,0.00286485948,3.86318554e-07,0.0227578294,0.00110669218,2.33487336e-07,0.0191420097,0.00348926928,0.00167040843,7.69983856e-06,0.0380949421,0.000510337198,-0.0171531003,1.62517685e-05,2.08114307e-06,0.00102227042,0.00219134293,0.0227737081,0.0385060659,7.80792401e-06,8.0458838e-06,8.35321709e-06,0.0394870849,0.0414505771,2.45471412e-08,0.0010476726,0.00298749486,0.00298823597,0.00325046552,0.0425262268,0.00795218538,0.00111598274,0.00591046369,0.0364913532,0.0010496448,0.0010496448,0.0010496448,0.0010496448
1.18481485e-05,0.0427845907,0.00286488536,3.86319204e-07,0.0227578963,0.00110669222,1.44123579e-06,0.0191420657,0.00348927637,0.00167041159,7.69985162e-06,0.0380947261,0.000510342734,-0.0171530751,1.62517974e-05,2.08119252e-06,0.00102226945,0.00219135065,0.0227737758,0.0385061261,7.80793658e-06,8.04589718e-06,8.35323101e-06,0.0394871588,0.0414506532,2.46230507e-08,0.00104767184,0.00298750325,0.00298824437,0.00325047151,0.0425263037,0.00795221323,0.00111598488,0.00590875904,0.0364914741,0.00104964445,0.00104964445,0.00104964445,0.00104964445
1.18481783e-05,0.0427846618,0.00286491325,3.86319973e-07,0.0227579675,0.00110669239,2.81814494e-06,0.0191421251,0.00348928402,0.00167041501,7.6998654e-06,0.0380944935,0.000510350855,-0.017153048,1.62518279e-05,2.08124599e-06,0.00102226846,0.00219135897,0.0227738478,0.0385061901,7.80794987e-06,8.04591131e-06,8.3532457e-06,0.0394872386,0.0414507353,2.46987738e-08,0.00104767102,0.00298751229,0.00298825341,0.00325047797,0.0425263867,0.00795224327,0.00111598721,0.00590692194,0.0364916046,0.00104964406,0.00104964406,0.00104964406,0.00104964406
1.18482094e-05,0.0427847356,0.00286494241,3.86320858e-07,0.0227580413,0.0011066927,4.28800218e-06,0.0191421868,0.00348929203,0.00167041859,7.69987954e-06,0.0380942501,0.000510361492,-0.0171530196,1.62518592e-05,2.08130212e-06,0.00102226746,0.00219136768,0.0227739224,0.0385062565,7.80796356e-06,8.04592581e-06,8.35326078e-06,0.0394873221,0.0414508212,2.47634583e-08,0.00104767016,0.00298752171,0.00298826285,0.00325048473,0.0425264735,0.00795227471,0.00111598966,0.00590500037,0.0364917413,0.00104964366,0.00104964366,0.00104964366,0.00104964366
1.18482456e-05,0.0427848208,0.0028649761,3.86321981e-07,0.0227581266,0.00110669317,5.94826475e-06,0.0191422581,0.00348930131,0.00167042273,7.69989563e-06,0.0380939685,0.000510376061,-0.0171529868,1.62518946e-05,2.08136738e-06,0.00102226632,0.00219137777,0.0227740087,0.0385063331,7.80797925e-06,8.04594236e-06,8.35327799e-06,0.0394874189,0.0414509207,2.48112966e-08,0.00104766917,0.00298753261,0.00298827375,0.00325049255,0.0425265741,0.00795231114,0.00111599251,0.00590277535,0.0364918998,0.00104964319,0.00104964319,0.00104964319,0.00104964319
1.18482893e-05,0.0427849249,0.00286501677,3.86323466e-07,0.0227582308,0.00110669388,7.77191855e-06,0.0191423452,0.00348931255,0.00167042775,7.69991486e-06,0.0380936275,0.000510395967,-0.0171529469,1.62519367e-05,2.08144683e-06,0.00102226492,0.00219139,0.022774114,0.0385064269,7.80799823e-06,8.04596221e-06,8.35329864e-06,0.0394875361,0.0414510413,2.48232674e-08,0.00104766796,0.00298754576,0.00298828692,0.00325050204,0.042526696,0.00795235528,0.00111599594,0.00590008022,0.0364920921,0.00104964262,0.00104964262,0.00104964262,0.00104964262
1.18483307e-05,0.0427850252,0.00286505497,3.86324968e-07,0.0227583312,0.00110669459,9.18945047e-06,0.0191424291,0.00348932317,0.00167043249,7.69993293e-06,0.0380933057,0.000510415925,-0.0171529093,1.62519758e-05,2.08152217e-06,0.00102226352,0.00219140154,0.0227742152,0.0385065172,7.80801632e-06,8.04598096e-06,8.35331814e-06,0.0394876469,0.0414511552,2.47889024e-08,0.00104766683,0.00298755815,0.00298829932,0.00325051101,0.0425268111,0.00795239698,0.00111599914,0.00589753627,0.0364922739,0.00104964208,0.00104964208,0.00104964208,0.00104964208
